"Source:","/home/jarin/storage/main/backup_mg/works/nvm/pcb/rnvm_lisa/rnvm_lisa.kicad_sch"
"Date:","Sat 14 May 2022 11:26:36 PM CEST"
"Tool:","Eeschema 6.0.5-a6ca702e91~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","50"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","PN","comment","link","supplier"
"","","C1","100u","Device:C_Polarized","Capacitor_Tantalum_SMD:CP_EIA-7132-28_AVX-C_Pad2.72x3.50mm_HandSolder","~","T491C107K010AT","","","TME"
"","","C2","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","CL21B105KAFNNNG","","","TME"
"","","C3","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","CL21B105KAFNNNG","","","TME"
"","","C4","22p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","VJ0805A220JXACW1BC","","","TME"
"","","C5","22p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","VJ0805A220JXACW1BC","","","TME"
"","","C6","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","CL21B105KAFNNNG","","","TME"
"","","C7","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","CL21B105KAFNNNG","","","TME"
"","","C8","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","CL21B105KAFNNNG","","","TME"
"","","C9","1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","CL21B105KAFNNNG","","","TME"
"","","C10","470p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","VJ0805Y471KXACW1BC","","","TME"
